generator,bus,fuel,U,sigma1,sigma2,X,,,,,
42,24,ng,1.41,1585.1,1693.9,1.07,,,,,
43,24,ng,3,2240.466667,2424.2,2.293333333,,,,,
44,24,ng,3,2240.466667,2424.2,2.293333333,,,,,
45,24,ng,3,2240.466667,2424.2,2.293333333,,,,,
46,25,hydro,2.5,1564.4,1713.8,0.84,,,,,
47,25,hydro,2.5,1564.4,1713.8,0.84,,,,,
48,25,hydro,2.5,1564.4,1713.8,0.84,,,,,
49,25,hydro,2.5,1564.4,1713.8,0.84,,,,,
50,26,ng,1.527,1544.246667,1699.34,1.042333333,,,,,
51,26,ng,1.962,2123.56,2166.28,1.487333333,,,,,
52,27,ng,2,2395.5,2494.5,1.1,,,,,
53,27,ng,1.562,2457.493333,2561.28,0.820666667,,,,,
54,27,ng,1.8,6197.366667,6220.7,1.333333333,,,,,
55,27,ng,1.8,6197.366667,6220.7,1.333333333,,,,,
56,28,ng,1.8,2423.7,2519.7,1,,,,,
57,28,ng,3.76,2250.1,2370.5,1.753333333,,,,,
58,28,ng,3.87,2248.6,2373.4,1.79,,,,,
59,28,ng,3.87,2248.6,2373.4,1.79,,,,,
60,29,ng,0.898,1250.486667,1362.06,0.549333333,,,,,
61,29,ng,0.898,1250.486667,1362.06,0.549333333,,,,,
62,29,ng,0.6,1903.066667,1991.4,0.433333333,,,,,
63,29,ng,0.6,1903.066667,1991.4,0.433333333,,,,,
64,29,ng,0.337,1679.936667,1746.01,0.212333333,,,,,
65,29,ng,0.337,1679.936667,1746.01,0.212333333,,,,,
66,29,ng,0.36,1595.666667,1705.2,0.153333333,,,,,
67,30,ng,1.79,1625.633333,1815.5,1.196666667,,,,,
68,30,ng,1.79,1625.633333,1815.5,1.196666667,,,,,
69,30,ng,0.957,1981.073333,2259.62,1.885666667,,,,,
70,31,ng,0.25,1418.7,1444.7,0.15,,,,,
71,31,ng,0.429,1434.213333,1491.24,0.209666667,,,,,
72,31,ng,0.429,1434.213333,1491.24,0.209666667,,,,,
73,31,ng,0.429,1434.213333,1491.24,0.209666667,,,,,
74,31,ng,0.429,1434.213333,1491.24,0.209666667,,,,,
75,31,ng,0.429,1434.213333,1491.24,0.209666667,,,,,
76,31,ng,0.429,1434.213333,1491.24,0.209666667,,,,,
77,31,ng,1.7,1616.033333,1786.7,1.166666667,,,,,
78,31,ng,0.8,1998.7,2007.7,0.7,,,,,
79,31,ng,0.25,1418.7,1444.7,0.15,,,,,
80,31,ng,0.25,1418.7,1444.7,0.15,,,,,
81,31,ng,0.211,1402.32,1426.76,0.117,,,,,
82,31,ng,0.211,1402.32,1426.76,0.117,,,,,
83,31,ng,0.22,1403.1,1429.1,0.12,,,,,
84,31,ng,0.22,1403.1,1429.1,0.12,,,,,
85,31,ng,0.429,1053.793333,1123.98,0.209666667,,,,,
86,31,ng,0.429,1905.07,1924.81,0.209666667,,,,,
87,32,ng,1.7,1669.366667,1818.7,1.233333333,,,,,
88,32,ng,1.7,1669.366667,1818.7,1.233333333,,,,,
89,32,ng,2.55,1880.8,2114.8,1.65,,,,,
90,33,ng,1.7,1141.366667,1501.9,0.573333333,,,,,
91,33,ng,1.7,1141.366667,1501.9,0.573333333,,,,,
92,33,ng,1.88,1935.1,2047.3,0.633333333,,,,,
93,34,ng,1.692,1615.18,1784.14,1.164,,,,,
94,34,ng,1.692,1615.18,1784.14,1.164,,,,,
95,34,ng,1.692,1615.18,1784.14,1.164,,,,,
96,34,ng,1.695,1615.5,1785.1,1.165,,,,,
97,34,ng,2.045,2006.05,2101.75,0.981666667,,,,,
98,34,ng,2.045,2006.05,2101.75,0.981666667,,,,,
99,35,coal,1.672,1523.853333,1586.36,0.890666667,,,,,
100,35,coal,1.553,1555.49,1618.67,0.851,,,,,
101,36,rfo,0,5962.528667,5966.186,0.169286667,,,,,
102,36,ng,0.419,1470.613333,1511,0.263666667,,,,,
103,36,ng,0.419,1470.613333,1511,0.263666667,,,,,
104,36,rfo,0,5975.466667,5991,0.263666667,,,,,
105,36,rfo,0,5093.773333,5106.2,0.263666667,,,,,
106,36,rfo,0,5093.773333,5106.2,0.263666667,,,,,
107,36,rfo,0,5093.773333,5106.2,0.263666667,,,,,
108,36,rfo,0,5093.773333,5106.2,0.263666667,,,,,
109,36,rfo,0,5975.466667,5991,0.263666667,,,,,
110,36,rfo,0,5975.466667,5991,0.263666667,,,,,
111,36,rfo,0,5975.466667,5991,0.263666667,,,,,
112,36,ng,0.20586,1436.974533,1446.4836,0.169286667,,,,,
113,36,rfo,0,5967.766667,5971.9,0.196666667,,,,,
114,36,rfo,0,5967.266667,5971.6,0.194666667,,,,,
115,36,ng,0.238,1447.993333,1459.78,0.192666667,,,,,
116,36,ng,0.238,1447.56,1459.52,0.192,,,,,
117,36,ng,0.20586,1436.974533,1446.4836,0.169286667,,,,,
118,36,ng,0.20586,1436.974533,1446.4836,0.169286667,,,,,
119,36,ng,0.20586,1436.974533,1446.4836,0.169286667,,,,,
120,36,ng,0.20586,1436.974533,1446.4836,0.169286667,,,,,
121,36,ng,0.20586,1436.974533,1446.4836,0.169286667,,,,,
122,36,ng,0.419,1470.613333,1511,0.263666667,,,,,
123,36,ng,0.419,1470.613333,1511,0.263666667,,,,,
124,37,coal,0.2165,1475.2945,1487.7487,0.10328,,,,,
125,37,coal,0.256,1700.513333,1781.54,0.118666667,,,,,
126,37,coal,0.2165,1689.4705,1756.2703,0.10328,,,,,
127,37,coal,0.2165,1475.2945,1487.7487,0.10328,,,,,
128,37,coal,0.2165,1475.2945,1487.7487,0.10328,,,,,
129,37,coal,0.2165,1475.2945,1487.7487,0.10328,,,,,
130,37,coal,0.2165,1475.2945,1487.7487,0.10328,,,,,
131,37,coal,0.256,1477.353333,1492.46,0.118666667,,,,,
132,37,coal,0.256,1700.513333,1781.54,0.118666667,,,,,
133,37,coal,0.256,1700.513333,1781.54,0.118666667,,,,,
134,39,ng,0.4,1867.733333,1885.4,0.366666667,,,,,
135,39,ng,0.4,1867.733333,1885.4,0.366666667,,,,,
136,39,ng,1.21,2048.5,2067.1,1.003333333,,,,,
137,39,ng,1.21,2048.5,2067.1,1.003333333,,,,,
138,40,ng,1.14,2522.7,2636.7,0.57,,,,,
139,40,ng,1.14,2522.7,2636.7,0.57,,,,,
140,40,rfo,0,5131.266667,5137.08,0.477333333,,,,,
141,40,rfo,0,5125.8,5133.8,0.45,,,,,
142,41,coal,1.12,1616.7,1679.1,0.64,,,,,
143,43,ng,0.56,1595.666667,1790,0.193333333,,,,,
144,43,ng,1.08,1911.1,1975.3,0.366666667,,,,,
145,47,ng,1,2563.716667,2673.35,0.523333333,,,,,
146,49,coal,2.176,1506.52,1559.56,1.292,,,,,
147,49,coal,2.176,1506.52,1559.56,1.292,,,,,
148,49,coal,0.96,1634.3,1695.3,0.553333333,,,,,
149,49,coal,0.96,1634.3,1695.3,0.553333333,,,,,
150,50,ng,0.952,1965.76,1998.88,0.584,,,,,
151,50,ng,0,1965.76,1998.88,0.584,,,,,
152,50,ng,0.952,1920.76,1971.88,0.384,,,,,
153,51,ng,0.55,1920.733333,1980.8,0.436666667,,,,,
154,51,ng,0.92,2008.3,2022.1,0.766666667,,,,,
155,53,rfo,0,5169.8,5175.88,0.719,,,,,
156,53,rfo,0.795,5167.533333,5174.52,0.707666667,,,,,
157,53,rfo,0.795,5166.866667,5174.12,0.704333333,,,,,
158,55,ng,0,2478.42,2592.66,0.757,,,,,
159,55,ng,2.394,2340.02,2447.66,1.198,,,,,
160,55,ng,0,2672.333333,2790.2,0.373333333,,,,,
161,55,ng,0,2661.95,2779.65,0.378333333,,,,,
162,56,ng,0.356,1815.793333,1835.58,0.318666667,,,,,
163,56,ng,0.665,2011.716667,2084.15,0.528333333,,,,,
164,57,ng,0.662,2035.92,2097.4,0.546,,,,,
165,57,ng,0.477,1875.153333,1922.5,0.387666667,,,,,
166,58,ng,0.655,2001.116667,2073.55,0.518333333,,,,,
167,58,ng,0.372,1774.453333,1817.56,0.290666667,,,,,
168,59,ng,0.642,2016.486667,2077.26,0.527333333,,,,,
169,59,ng,0.477,1881.336667,1926.21,0.392333333,,,,,
170,60,ng,0.605,1514.466667,1576,0.368333333,,,,,
171,61,other,0.597,0,0,0.245666667,,,,,
172,62,ng,0.412,1865.436667,1889.11,0.367333333,,,,,
173,62,ng,0.574,1982.39,2027.97,0.488,,,,,
174,63,hydro,0.57,1616.033333,1847.5,0.196666667,,,,,
175,63,hydro,0.57,1616.033333,1847.5,0.196666667,,,,,
176,63,hydro,0.57,1616.033333,1847.5,0.196666667,,,,,
177,63,hydro,0.57,1616.033333,1847.5,0.196666667,,,,,
178,63,hydro,0.57,1616.033333,1847.5,0.196666667,,,,,
179,63,hydro,0.57,1616.033333,1847.5,0.196666667,,,,,
180,63,hydro,0.57,1616.033333,1847.5,0.196666667,,,,,
181,63,hydro,0.57,1616.033333,1847.5,0.196666667,,,,,
182,63,hydro,0.57,1616.033333,1847.5,0.196666667,,,,,
183,63,hydro,0.57,1616.033333,1847.5,0.196666667,,,,,
184,63,hydro,0.57,1616.033333,1847.5,0.196666667,,,,,
185,63,hydro,0.57,1616.033333,1847.5,0.196666667,,,,,
186,63,hydro,0.57,1616.033333,1847.5,0.196666667,,,,,
187,63,hydro,0.57,1616.033333,1847.5,0.196666667,,,,,
188,63,hydro,0.57,1616.033333,1847.5,0.196666667,,,,,
189,63,hydro,0.57,1616.033333,1847.5,0.196666667,,,,,
190,64,rfo,0,5128.653333,5136.6,0.467666667,,,,,
191,64,rfo,0.567,5119.72,5131.24,0.423,,,,,
192,64,rfo,0,5126.786667,5135.48,0.458333333,,,,,
193,64,rfo,0,5126.653333,5135.4,0.457666667,,,,,
194,64,rfo,0.567,5126.386667,5135.24,0.456333333,,,,,
195,64,rfo,0.567,5124.253333,5133.96,0.445666667,,,,,
196,64,rfo,0.567,5123.053333,5133.24,0.439666667,,,,,
197,64,rfo,0.567,5121.986667,5132.6,0.434333333,,,,,
198,64,rfo,0.567,5120.786667,5131.88,0.428333333,,,,,
199,64,rfo,0.567,5120.653333,5131.8,0.427666667,,,,,
200,65,ng,0.394,1857.84,1876.92,0.358,,,,,
201,65,ng,0.566,1976.56,2021.08,0.482,,,,,
202,67,ng,0.43,1848.4,1886.56,0.358,,,,,
203,67,ng,0.55,1919.066667,1979.84,0.435333333,,,,,
204,68,rfo,0.54,5098.866667,5117,0.313333333,,,,,
205,69,ng,1.88,2319.933333,2446.8,0.726666667,,,,,
206,69,ng,1.88,2319.933333,2446.8,0.726666667,,,,,
207,69,ng,0.53,1559.966667,1587.7,0.423333333,,,,,
208,69,ng,0.53,1559.966667,1587.7,0.423333333,,,,,
209,70,ng,0.53,1559.966667,1587.7,0.423333333,,,,,
210,70,ng,0.53,1559.966667,1587.7,0.423333333,,,,,
211,71,rfo,0,5124.44,5131.64,0.439,,,,,
212,72,rfo,0.524,5127.106667,5132.92,0.451333333,,,,,
213,73,ng,0.5,1569.933333,1587.44,0.432666667,,,,,
214,73,ng,0.5,1569.933333,1587.44,0.432666667,,,,,
215,74,rfo,0.5,5124.333333,5129.72,0.432666667,,,,,
216,74,rfo,0.5,5124.333333,5129.72,0.432666667,,,,,
217,75,ng,0.5,1929.566667,1964.9,0.433333333,,,,,
218,75,ng,0.32,1588.6,1684,0.14,,,,,
219,77,rfo,0,5954.266667,5957.8,0.127666667,,,,,
220,77,rfo,0,5954.266667,5957.8,0.127666667,,,,,
221,77,rfo,0,5954.266667,5957.8,0.127666667,,,,,
222,78,ng,0.25,1620.4,1673.4,0.15,,,,,
223,78,ng,0.488,1715.446667,1831.34,0.269333333,,,,,
224,78,ng,0.488,1715.446667,1831.34,0.269333333,,,,,
225,80,ng,0.473,1433.693333,1500.08,0.217666667,,,,,
226,80,ng,0,2723.95,2865.65,0.115,,,,,
227,80,ng,0,2723.95,2865.65,0.115,,,,,
228,81,hydro,0.47,1667.7,1828.9,0.21,,,,,
229,82,ng,0.47,1398.766667,1478.5,0.163333333,,,,,
230,82,ng,0.47,1398.766667,1478.5,0.163333333,,,,,
231,83,ng,0.47,1398.766667,1478.5,0.163333333,,,,,
232,83,ng,0.47,1398.766667,1478.5,0.163333333,,,,,
233,84,ng,0.47,1398.766667,1478.5,0.163333333,,,,,
234,84,ng,0.47,1398.766667,1478.5,0.163333333,,,,,
235,85,ng,0.47,1398.766667,1478.5,0.163333333,,,,,
236,85,ng,0.47,1398.766667,1478.5,0.163333333,,,,,
237,86,ng,0.47,1398.766667,1478.5,0.163333333,,,,,
238,87,ng,0.47,1398.766667,1478.5,0.163333333,,,,,
239,88,ng,0.47,1924.266667,1949,0.423333333,,,,,
240,88,ng,0.25,1620.4,1673.4,0.15,,,,,
241,89,ng,0.47,1494.1,1535.7,0.31,,,,,
242,90,ng,0.465,1415.666667,1487.6,0.188333333,,,,,
243,91,ng,0.446,1867.026667,1904.48,0.375333333,,,,,
244,91,ng,0.46,1825.333333,1885.4,0.346666667,,,,,
245,92,wood,0,3637.733333,3851.6,0.153666667,,,,,
246,93,ng,0.42,1800.6,1853.6,0.32,,,,,
247,93,ng,0.25,1620.4,1673.4,0.15,,,,,
248,95,ng,0.409,1780.99,1837.17,0.303,,,,,
249,95,ng,0.22,1615.1,1657.5,0.14,,,,,
250,96,other,0.395,0,0,0.155,,,,,
251,98,rfo,0,5950,5957,0.115,,,,,
252,98,rfo,0,5950,5957,0.115,,,,,
253,99,hydro,0.0605,1509.362333,1530.7854,0.025946667,,,,,
254,99,hydro,0.0605,1509.362333,1530.7854,0.025946667,,,,,
255,99,hydro,0.0605,1509.362333,1530.7854,0.025946667,,,,,
256,99,hydro,0.0605,1509.362333,1530.7854,0.025946667,,,,,
257,99,hydro,0.0605,1509.362333,1530.7854,0.025946667,,,,,
258,99,hydro,0.0605,1509.362333,1530.7854,0.025946667,,,,,
259,100,hydro,0.09,1537.5,1562.3,0.05,,,,,
260,100,hydro,0.09,1537.5,1562.3,0.05,,,,,
261,100,hydro,0.09,1537.5,1562.3,0.05,,,,,
262,100,hydro,0.09,1537.5,1562.3,0.05,,,,,
263,101,hydro,0.36,1717.3,1804.1,0.22,,,,,
264,104,ng,0.049,2736.935,2748.681,0.03222,,,,,
265,104,ng,0.049,2736.935,2748.681,0.03222,,,,,
266,104,ng,0.049,2736.935,2748.681,0.03222,,,,,
267,104,ng,0.049,2736.935,2748.681,0.03222,,,,,
268,104,ng,0.049,2736.935,2748.681,0.03222,,,,,
269,104,ng,0.049,2736.935,2748.681,0.03222,,,,,
270,105,ng,0,2691.63,2824.49,0.123,,,,,
271,106,hydro,0.26,1551.966667,1655.3,0.093333333,,,,,
272,107,hydro,0.25,1549.9,1649.1,0.09,,,,,
273,108,hydro,0.25,1549.9,1649.1,0.09,,,,,
274,109,other,0.25,0,0,0.103333333,,,,,
275,109,other,0.25,0,0,0.103333333,,,,,
276,110,hydro,0.246,1600.74,1677.62,0.122,,,,,
277,110,hydro,0.246,1600.74,1677.62,0.122,,,,,
278,111,hydro,0.24,1547.833333,1642.9,0.086666667,,,,,
279,112,ng,0.078,1529.063333,1545.67,0.046666667,,,,,
280,112,ng,0.078,1529.063333,1545.67,0.046666667,,,,,
281,112,ng,0.078,1529.063333,1545.67,0.046666667,,,,,
282,113,hydro,0.11,1520.966667,1562.3,0.043333333,,,,,
283,113,hydro,0.11,1520.966667,1562.3,0.043333333,,,,,
284,114,ng,0.22,1442.1,1452.5,0.18,,,,,
285,114,ng,0.22,1442.1,1452.5,0.18,,,,,
286,114,ng,0.22,1442.1,1452.5,0.18,,,,,
287,114,ng,0.22,1442.1,1452.5,0.18,,,,,
288,114,ng,0.22,1442.1,1452.5,0.18,,,,,
289,114,ng,0.22,1442.1,1452.5,0.18,,,,,
290,114,ng,0.22,1442.1,1452.5,0.18,,,,,
291,114,ng,0.22,1441.233333,1451.98,0.178666667,,,,,
292,114,ng,0.22,1442.1,1452.5,0.18,,,,,
293,114,ng,0.22,1442.1,1452.5,0.18,,,,,
294,114,ng,0.22,1442.1,1452.5,0.18,,,,,
295,114,ng,0.22,1442.1,1452.5,0.18,,,,,
296,114,ng,0.22,1442.1,1452.5,0.18,,,,,
297,114,ng,0.22,1442.1,1452.5,0.18,,,,,
298,114,ng,0.22,1442.1,1452.5,0.18,,,,,
299,114,ng,0.22,1442.1,1452.5,0.18,,,,,
300,115,hydro,0.22,1534.4,1624.92,0.074,,,,,
301,115,hydro,0.22,1534.4,1624.92,0.074,,,,,
302,117,hydro,0.21,1541.633333,1624.3,0.076666667,,,,,
303,118,rfo,0,5084.466667,5086.6,0.173333333,,,,,
304,118,rfo,0,5084.466667,5086.6,0.173333333,,,,,
305,118,rfo,0,5084.466667,5086.6,0.173333333,,,,,
306,118,rfo,0,5084.466667,5086.6,0.173333333,,,,,
307,118,rfo,0,5084.466667,5086.6,0.173333333,,,,,
308,118,rfo,0,5083.933333,5086.28,0.170666667,,,,,
309,118,rfo,0,5083.933333,5086.28,0.170666667,,,,,
310,118,rfo,0,5082.6,5085.48,0.164,,,,,
311,118,rfo,0,5084.466667,5086.6,0.173333333,,,,,
312,118,rfo,0,5084.466667,5086.6,0.173333333,,,,,
313,118,rfo,0,5084.466667,5086.6,0.173333333,,,,,
314,118,rfo,0,5084.466667,5086.6,0.173333333,,,,,
315,118,rfo,0,5084.466667,5086.6,0.173333333,,,,,
316,118,rfo,0,5084.466667,5086.6,0.173333333,,,,,
317,118,rfo,0,5084.466667,5086.6,0.173333333,,,,,
318,118,rfo,0,5084.466667,5086.6,0.173333333,,,,,
319,119,hydro,0.2,1539.566667,1618.1,0.073333333,,,,,
320,119,hydro,0.2,1539.566667,1618.1,0.073333333,,,,,
321,119,hydro,0.2,1539.566667,1618.1,0.073333333,,,,,
322,119,hydro,0.2,1539.566667,1618.1,0.073333333,,,,,
323,119,hydro,0.2,1539.566667,1618.1,0.073333333,,,,,
324,119,hydro,0.2,1539.566667,1618.1,0.073333333,,,,,
325,119,hydro,0.2,1539.566667,1618.1,0.073333333,,,,,
326,119,hydro,0.2,1539.566667,1618.1,0.073333333,,,,,
327,119,hydro,0.2,1539.566667,1618.1,0.073333333,,,,,
328,119,hydro,0.2,1539.566667,1618.1,0.073333333,,,,,
329,119,hydro,0.2,1539.566667,1618.1,0.073333333,,,,,
330,119,hydro,0.2,1539.566667,1618.1,0.073333333,,,,,
331,387,ng,0.406,1912.96,1915.08,0.402,,,,,
332,387,ng,0.599,1845.579333,1956.4836,0.389746667,,,,,
333,443,rfo,0,5066.226667,5076.68,0.085333333,,,,,
334,650,hydro,0.14533,1517.934867,1578.0046,0.048443333,,,,,
335,650,hydro,0.14533,1517.934867,1578.0046,0.048443333,,,,,
336,650,hydro,0.14533,1517.934867,1578.0046,0.048443333,,,,,
337,1498,ng,0.1875,1594.341667,1631.265,0.117833333,,,,,
338,1498,ng,0.1875,1594.341667,1631.265,0.117833333,,,,,
339,1673,ng,4.547,2261.223333,2376.414,2.243186667,,,,,
340,1673,ng,6.597,2253.27,2341.21,3.665666667,,,,,
341,1674,ng,1.836,1817.206667,1942.22,1.445333333,,,,,
342,1674,ng,1.836,1817.206667,1942.22,1.445333333,,,,328.16711,
343,1674,ng,2.584,1905.413333,2136.64,1.694666667,,,,,
344,1674,ng,3.252,1898.306667,2271.32,1.817333333,,,,,
345,1674,ng,1.125,2075.95,2077.45,1.108333333,,,,,
346,1674,ng,1.125,2075.95,2077.45,1.108333333,,,,,
347,1674,ng,1.125,2075.95,2077.45,1.108333333,,,,,
348,1674,ng,1.125,2075.95,2077.45,1.108333333,,,,,
349,1726,other,0.786,0,0,0.422,,,,,
350,1731,ng,0.383,1825.863333,1853.07,0.331666667,,,,,
351,1731,ng,0.553,1944.23,1996.17,0.455,,,,,
352,1733,ng,0.492,1972.32,1987.16,0.464,,,,,
353,1733,ng,0.39,1689.3,1774.1,0.23,,,,,
354,1735,ng,0.487,1838.936667,1905.01,0.362333333,,,,,
355,1735,ng,0.487,1838.936667,1905.01,0.362333333,,,,,
356,1735,ng,0.487,1838.936667,1905.01,0.362333333,,,,,
357,1735,ng,0.752,1920.76,1957.48,0.344,,,,,
358,1736,ng,0.419,1411.68,1475.64,0.173,,,,,
359,1811,ng,0.47,1398.766667,1478.5,0.163333333,,,,,
360,1812,ng,0.605,1518.8,1578.6,0.375,,,,,
361,1813,ng,0.477,1577.04,1586.92,0.439,,,,,
362,38,wind,1.27853,0,0,0,,,,,
363,42,wind,0.19608,0,0,0,,,,,
364,44,wind,0.38191,0,0,0,,,,,
365,45,wind,1.1149,0,0,0,,,,,
366,46,wind,1.21263,0,0,0,,,,,
367,48,wind,1.41234,0,0,0,,,,,
368,52,wind,0.01172,0,0,0,,,,,
369,95,wind,0.00458,0,0,0,,,,,
370,97,wind,2.09243,0,0,0,,,,,
371,100,wind,0.00022,0,0,0,,,,,
372,102,wind,0.06673,0,0,0,,,,,
373,103,wind,2.47095,0,0,0,,,,,
374,310,wind,0.00177,0,0,0,,,,,
375,311,wind,0.00034,0,0,0,,,,,
376,312,wind,0.09355,0,0,0,,,,,
377,313,wind,0.00022,0,0,0,,,,,
378,331,wind,0.10701,0,0,0,,,,,
379,375,wind,0.01514,0,0,0,,,,,
380,387,wind,0.00018,0,0,0,,,,,
381,401,wind,0.05182,0,0,0,,,,,
382,418,wind,0.00025,0,0,0,,,,,
383,449,wind,0.09696,0,0,0,,,,,
384,451,wind,0.14607,0,0,0,,,,,
385,640,wind,0.18924,0,0,0,,,,,
386,643,wind,0.083,0,0,0,,,,,
387,669,wind,0.00148,0,0,0,,,,,
388,936,wind,0.02861,0,0,0,,,,,
389,1006,wind,0.00796,0,0,0,,,,,
390,1414,wind,0.13496,0,0,0,,,,,
391,1416,wind,0.18137,0,0,0,,,,,
392,1483,wind,0.00021,0,0,0,,,,,
393,1669,wind,0.07998,0,0,0,,,,,
394,1810,wind,0.00018,0,0,0,,,,,
END,,,,,,,,,,,
